code,scheme_name,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,for_primary_codes,for_primary_names,for_all_codes,for_all_names,fellowship_holders,fellowship_holders_orcids
DE230101712,Discovery Early Career Researcher Award,2023,Active,394818,439592.0,The University of Queensland,4016,Materials Engineering,4016; 401605; 401807,Materials Engineering; Functional Materials; Nanomaterials,Dr Peng Chen,0000-0001-8634-4717
DE230101728,Discovery Early Career Researcher Award,2023,Active,434212,484419.0,Western Sydney University,4410,Sociology,4410; 441001; 441011; 470102,"Sociology; Applied Sociology, Program Evaluation and Social Impact Assessment; Sociology of Health; Communication Technology and Digital Media Studies",A/Prof Benjamin Hanckel,0000-0002-4324-9733
DE230101729,Discovery Early Career Researcher Award,2023,Active,455652,507738.0,The Australian National University,4406,Human Geography,4406; 440602; 441007; 449901,Human Geography; Development Geography; Sociology and Social Studies of Science and Technology; Studies of Asian Society,Dr Mira Käkönen,0000-0002-2350-4020
FT220100009,ARC Future Fellowships,2022,Active,932168,1012921.0,The University of New South Wales,4015,Maritime Engineering,370901; 4015; 401503,Geomorphology and Earth Surface Processes; Maritime Engineering; Ocean Engineering,A/Prof Kristen Splinter,0000-0002-0082-8444
FT220100010,ARC Future Fellowships,2022,Active,803116,873316.0,The Australian National University,3404,Medicinal and Biomolecular Chemistry,3404; 340401; 340407; 340503,Medicinal and Biomolecular Chemistry; Biologically Active Molecules; Proteins and Peptides; Organic Chemical Synthesis,A/Prof Christoph Nitsche,0000-0002-3704-2699
FT220100017,ARC Future Fellowships,2022,Active,1109924,1206076.0,Western Sydney University,3302,Building,3302; 330206,"Building; Building Science, Technologies and Systems",Prof Vivian Tam,0000-0002-1074-8018
FT220100018,ARC Future Fellowships,2022,Active,964216,1047991.0,University of Technology Sydney,3403,Macromolecular and Materials Chemistry,340108; 3403; 340301; 340304,Sensor Technology (Incl. Chemical Aspects); Macromolecular and Materials Chemistry; Inorganic Materials (Incl. Nanomaterials); Optical Properties of Materials,Prof Jiajia Zhou,0000-0002-0605-5745
FT220100023,ARC Future Fellowships,2022,Active,784594,852627.0,La Trobe University,3105,Genetics,310102; 3105; 310503; 310507,"Cell Development, Proliferation and Death; Genetics; Developmental Genetics (Incl. Sex Determination); Genetic Immunology",Dr Travis Johnson,0000-0001-6846-9313
FT220100024,ARC Future Fellowships,2022,Active,1057210,1148884.0,The Australian National University,4301,Archaeology,4301; 430101; 430104; 440102,"Archaeology; Archaeological Science; Archaeology of Europe, the Mediterranean and the Levant; Anthropology of Gender and Sexuality",A/Prof Catherine Frieman,0000-0002-9030-4483
FT220100046,ARC Future Fellowships,2022,Active,884889,961554.0,University of Wollongong,4604,Cybersecurity and Privacy,4604; 460401,Cybersecurity and Privacy; Cryptography,A/Prof Fuchun Guo,0000-0001-6939-7710
FT220100053,ARC Future Fellowships,2022,Active,1118243,1214391.0,University of Technology Sydney,4018,Nanotechnology,4018; 401805; 401809; 510805,"Nanotechnology; Nanofabrication, Growth and Self Assembly; Nanophotonics; Quantum Technologies",Prof Igor Aharonovich,0000-0003-4304-3935
FT220100054,ARC Future Fellowships,2022,Active,1039924,1130612.0,Flinders University,3403,Macromolecular and Materials Chemistry,3403; 340302; 340304; 340503,Macromolecular and Materials Chemistry; Macromolecular Materials; Optical Properties of Materials; Organic Chemical Synthesis,Prof Justin Chalker,0000-0002-7504-5508
FT220100062,ARC Future Fellowships,2022,Active,784074,851437.0,Deakin University,3902,"Education Policy, Sociology and Philosophy",3902; 390201; 390203,"Education Policy, Sociology and Philosophy; Education Policy; Sociology of Education",Dr Tebeje Molla,0000-0002-6848-3091
FT220100069,ARC Future Fellowships,2022,Active,904843,983247.0,The University of Queensland,3102,Bioinformatics and Computational Biology,3102; 310207; 310506; 490503,Bioinformatics and Computational Biology; Statistical and Quantitative Genetics; Gene Mapping; Computational Statistics,Prof Loic Yengo,0000-0002-4272-9305
FT220100073,ARC Future Fellowships,2022,Active,940000,1020834.0,Deakin University,4410,Sociology,4410; 441004; 441005,Sociology; Social Change; Social Theory,Dr David Farrugia,
FT220100076,ARC Future Fellowships,2022,Active,911616,990289.0,The University of Sydney,4701,Communication and Media Studies,4701; 470107,Communication and Media Studies; Media Studies,Prof Marcus Carter,0000-0002-4866-4928
FT220100078,ARC Future Fellowships,2022,Active,908906,987968.0,Flinders University,4501,"Aboriginal and Torres Strait Islander Culture, Language and History",360299; 4501; 450105; 450107,"Creative and Professional Writing Not Elsewhere Classified; Aboriginal and Torres Strait Islander Culture, Language and History; Aboriginal and Torres Strait Islander Curatorial, Archives and Museum Studies; Aboriginal and Torres Strait Islander History",A/Prof Natalie Harkin,0000-0001-9218-3817
FT220100091,ARC Future Fellowships,2022,Active,1035760,1125493.0,The University of Melbourne,5202,Biological Psychology,320999; 5202; 520299,Neurosciences Not Elsewhere Classified; Biological Psychology; Biological Psychology Not Elsewhere Classified,Prof Andrew Zalesky,0000-0003-2298-9908
FT220100092,ARC Future Fellowships,2022,Active,1071010,1163873.0,The University of New South Wales,4003,Biomedical Engineering,310105; 4003; 400302,"Cellular Interactions (Incl. Adhesion, Matrix, Cell Wall); Biomedical Engineering; Biomaterials",Prof Megan Lord,0000-0002-0506-9811
FT220100094,ARC Future Fellowships,2022,Active,765828,834149.0,The University of New South Wales,4016,Materials Engineering,401408; 4016; 401602,Manufacturing Processes and Technologies (Excl. Textiles); Materials Engineering; Composite and Hybrid Materials,Dr Shuhua Peng,
FT220100096,ARC Future Fellowships,2022,Active,942570,1024439.0,University of Tasmania,4016,Materials Engineering,340302; 340309; 4016; 401609,Macromolecular Materials; Theory and Design of Materials; Materials Engineering; Polymers and Plastics,A/Prof Stuart Thickett,0000-0002-8168-3856
FT220100100,ARC Future Fellowships,2022,Active,1115000,1210692.0,The University of New South Wales,4410,Sociology,4410; 441011,Sociology; Sociology of Health,Prof Joanne Bryant,0000-0002-5271-2881
FT220100103,ARC Future Fellowships,2022,Active,940168,1021614.0,The University of Queensland,5102,"Atomic, Molecular and Optical Physics",5102; 510204,"Atomic, Molecular and Optical Physics; Photonics, Optoelectronics and Optical Communications",Dr Joel Carpenter,0000-0002-9197-4390
FT220100106,ARC Future Fellowships,2022,Active,1066360,1161235.0,Queensland University of Technology,4016,Materials Engineering,4016; 401605; 401899,Materials Engineering; Functional Materials; Nanotechnology Not Elsewhere Classified,Prof Zhi-Gang Chen,0000-0002-9309-7993
FT220100115,ARC Future Fellowships,2022,Active,957262,1042819.0,The University of Sydney,3603,Music,3603; 360306; 430302; 450103,Music; Musicology and Ethnomusicology; Australian History; Aboriginal and Torres Strait Islander Cultural History,A/Prof Amanda Harris,0000-0002-9858-2568
FT220100119,ARC Future Fellowships,2022,Active,811055,938006.0,Macquarie University,4303,Historical Studies,4303; 430307; 440601,Historical Studies; Environmental History; Cultural Geography,A/Prof Emily O'Gorman,0000-0001-6935-1982
FT220100125,ARC Future Fellowships,2022,Active,895000,973064.0,The University of Sydney,4904,Pure Mathematics,4904; 490401; 490402; 490403,"Pure Mathematics; Algebra and Number Theory; Algebraic and Differential Geometry; Category Theory, K Theory, Homological Algebra",A/Prof Kevin Coulembier,0000-0003-0996-3965
FT220100149,ARC Future Fellowships,2022,Active,1062572,1154883.0,The University of Melbourne,4018,Nanotechnology,340699; 401605; 4018; 401807,Physical Chemistry Not Elsewhere Classified; Functional Materials; Nanotechnology; Nanomaterials,Prof Zhe Liu,0000-0002-5282-7945
FT220100152,ARC Future Fellowships,2022,Active,935803,1018367.0,Macquarie University,3107,Microbiology,310113; 3107; 310704,Synthetic Biology; Microbiology; Microbial Genetics,A/Prof Amy Cain,0000-0002-4230-6572
FT220100159,ARC Future Fellowships,2022,Active,832068,904273.0,The University of New South Wales,3101,Biochemistry and Cell Biology,3101; 310110; 310111; 400307,Biochemistry and Cell Biology; Receptors and Membrane Biology; Signal Transduction; Mechanobiology,Dr Charles Cox,
FT220100166,ARC Future Fellowships,2022,Active,813340,883341.0,University of Southern Queensland,4016,Materials Engineering,340601; 400404; 4016; 401602,Catalysis and Mechanisms of Reactions; Electrochemical Energy Storage and Conversion; Materials Engineering; Composite and Hybrid Materials,A/Prof Lei Ge,0000-0003-2989-0329
FT220100177,ARC Future Fellowships,2022,Active,919584,999771.0,The University of New South Wales,4005,Civil Engineering,4005; 400505; 400510,Civil Engineering; Construction Materials; Structural Engineering,A/Prof Wengui Li,0000-0002-4651-1215
FT220100178,ARC Future Fellowships,2022,Active,1066940,1161440.0,University of Wollongong,3006,Food Sciences,3006; 300606; 321005,Food Sciences; Food Sustainability; Public Health Nutrition,Prof Karen Charlton,0000-0002-8044-444X
FT220100184,ARC Future Fellowships,2022,Active,953600,1037950.0,Flinders University,4301,Archaeology,4301; 430101,Archaeology; Archaeological Science,Prof Ian Moffat,0000-0002-2171-7145
FT220100186,ARC Future Fellowships,2022,Active,1079924,1171678.0,The University of Queensland,4407,Policy and Administration,4407; 440702; 440709,Policy and Administration; Crime Policy; Public Policy,Prof Coral Gartner,0000-0002-6651-8035
FT220100209,ARC Future Fellowships,2022,Active,947616,1030000.0,Queensland University of Technology,4004,Chemical Engineering,4004; 400404; 401605; 401807,Chemical Engineering; Electrochemical Energy Storage and Conversion; Functional Materials; Nanomaterials,A/Prof Zhaojun Han,0000-0002-2437-319X
FT220100210,ARC Future Fellowships,2022,Active,905168,983672.0,University of Tasmania,4104,Environmental Management,4104; 410401; 410404,Environmental Management; Conservation and Biodiversity; Environmental Management,A/Prof Vanessa Adams,0000-0002-3509-7901
FT220100253,ARC Future Fellowships,2022,Active,1050872,1141997.0,The University of Melbourne,5204,Cognitive and Computational Psychology,470410; 520108; 5204; 520405,"Phonetics and Speech Science; Testing, Assessment and Psychometrics; Cognitive and Computational Psychology; Psycholinguistics (Incl. Speech Production and Comprehension)",Prof Adam Vogel,0000-0002-3505-2631
FT220100276,ARC Future Fellowships,2022,Active,764004,830200.0,The Australian National University,3104,Evolutionary Biology,310307; 3104; 310405,Population Ecology; Evolutionary Biology; Evolutionary Ecology,A/Prof Daniel Noble,0000-0001-9460-8743
FT220100290,ARC Future Fellowships,2022,Active,802542,870254.0,Monash University,5104,Condensed Matter Physics,5104; 510404; 510407,Condensed Matter Physics; Electronic and Magnetic Properties of Condensed Matter; Superconductivity; Surface Properties of Condensed Matter,Dr Mark Edmonds,
FT220100294,ARC Future Fellowships,2022,Active,875928,951763.0,Monash University,5202,Biological Psychology,5202; 520203; 520401; 520403,"Biological Psychology; Cognitive Neuroscience; Cognition; Learning, Motivation and Emotion",A/Prof Trevor Chong,0000-0001-7764-3811
FT220100318,ARC Future Fellowships,2022,Active,764534,831078.0,The University of Sydney,4611,Machine Learning,4611; 461101; 461106,Machine Learning; Adversarial MacHine Learning; Semi- and Unsupervised Learning,A/Prof Tongliang Liu,0000-0002-9640-6472
FT220100319,ARC Future Fellowships,2022,Active,823300,894586.0,The University of Melbourne,3406,Physical Chemistry,340305; 3406; 340603,Physical Properties of Materials; Physical Chemistry; Colloid and Surface Chemistry,Dr Joseph Berry,0000-0002-0961-7782
FT220100330,ARC Future Fellowships,2022,Active,800000,869303.0,The University of Newcastle,5101,Astronomical Sciences,5101; 510108; 510902,Astronomical Sciences; Solar Physics; Heliophysics and Space Weather,Dr Hannah Schunker,0000-0001-9932-9559
FT220100345,ARC Future Fellowships,2022,Active,927301,1007636.0,The University of Melbourne,3405,Organic Chemistry,3405; 340503,Organic Chemistry; Organic Chemical Synthesis,A/Prof Anastasios Polyzos,0000-0003-1063-4990
FT220100350,ARC Future Fellowships,2022,Active,1107760,1204124.0,The University of Queensland,3004,Crop and Pasture Production,300105; 3004; 300406; 310803,Genetically Modified Field Crops and Pasture; Crop and Pasture Production; Crop and Pasture Improvement (Incl. Selection and Breeding); Plant Cell and Molecular Biology,Prof Lee Hickey,0000-0001-6909-7101
FT220100351,ARC Future Fellowships,2022,Active,1048536,1139367.0,Deakin University,5202,Biological Psychology,5202; 520202; 520403,"Biological Psychology; Behavioural Neuroscience; Learning, Motivation and Emotion",Prof Jee Hyun Kim,0000-0002-1299-4300
FT220100359,ARC Future Fellowships,2022,Active,824000,893872.0,The University of Sydney,5108,Quantum Physics,510201; 5108; 510803,"Atomic and Molecular Physics; Quantum Physics; Quantum Information, Computation and Communication",Dr Ting Rei Tan,0000-0003-4520-6419
FT220100368,ARC Future Fellowships,2022,Active,933636,1014492.0,The University of Sydney,4904,Pure Mathematics,4904; 490402; 490410,Pure Mathematics; Algebraic and Differential Geometry; Partial Differential Equations,A/Prof Jiakun Liu,0000-0003-4409-4187
FT220100388,ARC Future Fellowships,2022,Active,1080935,1175735.0,The University of New South Wales,5204,Cognitive and Computational Psychology,5204; 520401; 520406,"Cognitive and Computational Psychology; Cognition; Sensory Processes, Perception and Performance",Prof Joel Pearson,0000-0003-3704-5037
FT220100391,ARC Future Fellowships,2022,Active,892310,969620.0,The University of New South Wales,4612,Software Engineering,460406; 461103; 4612; 461208,"Software and Application Security; Deep Learning; Software Engineering; Software Testing, Verification and Validation",A/Prof Yulei Sui,0000-0002-9510-6574
FT220100405,ARC Future Fellowships,2022,Active,890748,965469.0,Swinburne University of Technology,5110,Synchrotrons and Accelerators,340403; 5110; 511002; 511003,Characterisation of Biological MacRomolecules; Synchrotrons and Accelerators; Instruments and Techniques; Synchrotrons,A/Prof Nadia Zatsepin,0000-0003-1757-0205
FT220100418,ARC Future Fellowships,2022,Active,1080000,1173560.0,The University of Melbourne,4803,International and Comparative Law,4803; 480308; 480309; 480310,International and Comparative Law; International Trade and Investment Law; Ocean Law and Governance; Public International Law,Prof Margaret Young,0000-0002-3033-5990
FT220100427,ARC Future Fellowships,2022,Active,802000,870269.0,Macquarie University,4410,Sociology,4410; 441004; 441013,"Sociology; Social Change; Sociology of Migration, Ethnicity and Multiculturalism",Dr Randa Abdel-Fattah,
FT220100474,ARC Future Fellowships,2022,Active,920868,1000298.0,The University of New South Wales,5202,Biological Psychology,320903; 5202; 520202,Central Nervous System; Biological Psychology; Behavioural Neuroscience,Dr Vincent Laurent,0000-0003-2333-8437
FT220100475,ARC Future Fellowships,2022,Active,1043003,1133606.0,The University of New South Wales,3708,Oceanography,370105; 3708; 370801; 370803,Atmospheric Dynamics; Oceanography; Biological Oceanography; Physical Oceanography,A/Prof Alexander Sen Gupta,0000-0001-5226-871X
FT220100479,ARC Future Fellowships,2022,Active,985876,1071117.0,The University of New South Wales,4018,Nanotechnology,401605; 4018; 401807,Functional Materials; Nanotechnology; Nanomaterials,A/Prof Kang Liang,0000-0003-3985-7688
FT220100485,ARC Future Fellowships,2022,Active,959768,1042848.0,The University of Queensland,3101,Biochemistry and Cell Biology,3101; 310104; 310108; 320902,Biochemistry and Cell Biology; Cell Neurochemistry; Protein Trafficking; Cellular Nervous System,A/Prof Victor Anggono,0000-0002-4062-4884
FT220100487,ARC Future Fellowships,2022,Active,1127924,1225641.0,The University of Queensland,3101,Biochemistry and Cell Biology,3101; 310110; 310111; 320407,Biochemistry and Cell Biology; Receptors and Membrane Biology; Signal Transduction; Innate Immunity,Prof Antje Blumenthal,0000-0003-3673-7015
FT220100493,ARC Future Fellowships,2022,Active,1016000,1104015.0,The University of Melbourne,4403,Demography,350507; 4403; 440301; 441009,Workplace Wellbeing and Quality of Working Life; Demography; Family and Household Studies; Sociology of Family and Relationships,Prof Leah Ruppanner,0000-0002-6111-1914
FT220100496,ARC Future Fellowships,2022,Active,1080000,1173560.0,Monash University,4903,Numerical and Computational Mathematics,4903; 490399,Numerical and Computational Mathematics; Numerical and Computational Mathematics Not Elsewhere Classified,Prof Ricardo Ruiz Baier,0000-0003-3144-5822
FT220100509,ARC Future Fellowships,2022,Active,1076924,1170176.0,Monash University,5001,Applied Ethics,5001; 500101; 500103,Applied Ethics; Bioethics; Ethical Use of New Technology,A/Prof Adrian Carter,0000-0002-3593-0772
FT220100515,ARC Future Fellowships,2022,Active,1053000,1144401.0,RMIT University,4005,Civil Engineering,4005; 400502,Civil Engineering; Civil Geotechnical Engineering,Prof Annan Zhou,0000-0001-5209-5169
FT220100543,ARC Future Fellowships,2022,Active,922168,1001752.0,Macquarie University,4303,Historical Studies,4303; 430305; 470513,Historical Studies; Classical Greek and Roman History; Latin and Classical Greek Literature,Dr Greta Hawes,0000-0003-2699-9222
FT220100552,ARC Future Fellowships,2022,Active,1061308,1153248.0,RMIT University,4701,Communication and Media Studies,4701; 470102; 470203,Communication and Media Studies; Communication Technology and Digital Media Studies; Consumption and Everyday Life,Prof Larissa Hjorth,
FT220100557,ARC Future Fellowships,2022,Active,917720,997221.0,The University of Newcastle,3003,Animal Production,3003; 300305; 300306; 310103,Animal Production; Animal Reproduction and Breeding; Animal Welfare; Cell Metabolism,A/Prof Zamira Gibb,0000-0002-4864-8880
FT220100559,ARC Future Fellowships,2022,Active,829709,901493.0,RMIT University,4016,Materials Engineering,4016; 401605; 401899,Materials Engineering; Functional Materials; Nanotechnology Not Elsewhere Classified,A/Prof Han Lin,0000-0002-6262-1959
FT220100561,ARC Future Fellowships,2022,Active,826740,899167.0,University of Technology Sydney,4016,Materials Engineering,400404; 4016; 401605; 401807,Electrochemical Energy Storage and Conversion; Materials Engineering; Functional Materials; Nanomaterials,Dr Bing Sun,0000-0002-4365-486X
FT220100564,ARC Future Fellowships,2022,Active,1065924,1158264.0,Monash University,3101,Biochemistry and Cell Biology,3101; 310101; 310103,Biochemistry and Cell Biology; Analytical Biochemistry; Cell Metabolism,Prof Darren Creek,0000-0001-7497-7082
FT220100566,ARC Future Fellowships,2022,Active,1038924,1128938.0,Curtin University,3705,Geology,3705; 370502; 370503; 370604,Geology; Geochronology; Igneous and Metamorphic Petrology; Geodynamics,Prof Chris Clark,0000-0001-9982-7849
FT220100583,ARC Future Fellowships,2022,Active,840000,912769.0,The University of Queensland,3404,Medicinal and Biomolecular Chemistry,310199; 3404; 340407,Biochemistry and Cell Biology Not Elsewhere Classified; Medicinal and Biomolecular Chemistry; Proteins and Peptides,Dr Conan Wang,0000-0002-7973-7632
FT220100599,ARC Future Fellowships,2022,Active,952000,1034476.0,The University of New South Wales,5108,Quantum Physics,400912; 5108; 510805,Quantum Engineering Systems (Incl. Computing and Communications); Quantum Physics; Quantum Technologies,A/Prof Jarryd Pla,0000-0002-7152-3453
FT220100601,ARC Future Fellowships,2022,Active,1056925,1148485.0,The University of Sydney,4004,Chemical Engineering,4004; 400408; 401605; 401810,Chemical Engineering; Reaction Engineering (Excl. Nuclear Reactions); Functional Materials; Nanoscale Characterisation,Prof Dr Jun Huang,0000-0001-8704-605X
FT220100610,ARC Future Fellowships,2022,Active,913079,992173.0,University of Technology Sydney,4206,Public Health,4206; 420603; 420605; 420899,"Public Health; Health Promotion; Preventative Health Care; Traditional, Complementary and Integrative Medicine Not Elsewhere Classified",Dr Amie Steel,0000-0001-6643-9444
FT220100615,ARC Future Fellowships,2022,Active,777019,844140.0,The University of Notre Dame Australia,5002,History and Philosophy of Specific Fields,5002; 500208; 500306,History and Philosophy of Specific Fields; History of Philosophy; Ethical Theory,A/Prof David Bronstein,0000-0001-8041-637X
FT220100617,ARC Future Fellowships,2022,Active,912168,991188.0,Monash University,3214,Pharmacology and Pharmaceutical Sciences,310110; 3214; 321401; 321404,Receptors and Membrane Biology; Pharmacology and Pharmaceutical Sciences; Basic Pharmacology; Pharmaceutical Delivery Technologies,Dr Nicholas Veldhuis,0000-0002-8902-9365
FT220100618,ARC Future Fellowships,2022,Active,925000,1005735.0,RMIT University,3304,Urban and Regional Planning,3304; 330401; 441002,Urban and Regional Planning; Community Planning; Environmental Sociology,Dr Erica Kuligowski,0000-0001-6121-4983
FT220100629,ARC Future Fellowships,2022,Active,744392,810677.0,The University of Melbourne,3104,Evolutionary Biology,310203; 3104; 310410; 310704,Computational Ecology and Phylogenetics; Evolutionary Biology; Phylogeny and Comparative Analysis; Microbial Genetics,Dr Sebastian Duchene,0000-0002-2863-0907
FT220100650,ARC Future Fellowships,2022,Active,879586,954875.0,The University of Melbourne,4203,Health Services and Systems,4203; 420311; 460202,Health Services and Systems; Health Systems; Autonomous Agents and Multiagent Systems,Dr Jason Thompson,0000-0002-3146-1198
FT220100652,ARC Future Fellowships,2022,Active,1059390,1151534.0,University of Tasmania,4406,Human Geography,330413; 4406; 440612,Urban Planning and Health; Human Geography; Urban Geography,Prof Jason Byrne,0000-0001-8733-0333
FT220100656,ARC Future Fellowships,2022,Active,976069,1061014.0,The Australian National University,4007,"Control Engineering, Mechatronics and Robotics",4007; 400705; 461105; 490103,"Control Engineering, Mechatronics and Robotics; Control Engineering; Reinforcement Learning; Calculus of Variations, Mathematical Aspects of Systems Theory and Control Theory",Prof Daoyi Dong,0000-0002-7425-3559
FT220100666,ARC Future Fellowships,2022,Active,940000,1021431.0,The University of Queensland,4018,Nanotechnology,340604; 400404; 4018; 401810,Electrochemistry; Electrochemical Energy Storage and Conversion; Nanotechnology; Nanoscale Characterisation,A/Prof Ruth Knibbe,0000-0002-9931-7520
FT220100669,ARC Future Fellowships,2022,Active,805961,875158.0,Macquarie University,3109,Zoology,3109; 310901; 400707; 460202,Zoology; Animal Behaviour; Manufacturing Robotics; Autonomous Agents and Multiagent Systems,Dr Christopher Reid,
FT220100670,ARC Future Fellowships,2022,Active,815119,885769.0,The Australian National University,5108,Quantum Physics,5108; 510801; 510802,Quantum Physics; Degenerate Quantum Gases and Atom Optics; Foundations of Quantum Mechanics,Dr Sean Hodgman,
FT220100679,ARC Future Fellowships,2022,Active,947541,1029571.0,Monash University,4012,Fluid Mechanics and Thermal Engineering,4012; 401206,Fluid Mechanics and Thermal Engineering; Fluid-Structure Interaction and Aeroacoustics,A/Prof Daniel Edgington-Mitchell,0000-0001-9032-492X
FT220100690,ARC Future Fellowships,2022,Active,732008,795418.0,The University of Sydney,4206,Public Health,4206; 420601; 420603; 420606,Public Health; Community Child Health; Health Promotion; Social Determinants of Health,Dr Phillip Baker,
FT220100695,ARC Future Fellowships,2022,Active,1035279,1124878.0,Flinders University,3801,Applied Economics,3801; 380101; 380105,Applied Economics; Agricultural Economics; Environment and Resource Economics,Prof Alec Zuo,0000-0003-0425-4633
FT220100711,ARC Future Fellowships,2022,Active,811144,881404.0,The University of New South Wales,5202,Biological Psychology,320903; 5202; 520202,Central Nervous System; Biological Psychology; Behavioural Neuroscience,Dr Zhi Yi Ong,
FT220100713,ARC Future Fellowships,2022,Declined,1083986,,,3106,Industrial Biotechnology,310204; 310505; 3106; 310606,Genomics and Transcriptomics; Gene Expression (Incl. Microarray and Other Genome-Wide Approaches); Industrial Biotechnology; Industrial Molecular Engineering of Nucleic Acids and Proteins,Prof Timothy Mercer,0000-0001-8780-894X
FT220100717,ARC Future Fellowships,2022,Active,1144372,1243508.0,The University of Sydney,3101,Biochemistry and Cell Biology,3101; 310110; 310112,Biochemistry and Cell Biology; Receptors and Membrane Biology; Structural Biology (Incl. MacRomolecular Modelling),Prof Renae Ryan,
FT220100732,ARC Future Fellowships,2022,Active,920000,999699.0,The University of Sydney,3406,Physical Chemistry,340304; 3406; 340601,Optical Properties of Materials; Physical Chemistry; Catalysis and Mechanisms of Reactions,A/Prof Sarina Sarina,0000-0003-1559-0456
FT220100738,ARC Future Fellowships,2022,Active,922168,1002362.0,The University of Queensland,3402,Inorganic Chemistry,3402; 340205; 340209; 340503,Inorganic Chemistry; Main Group Metal Chemistry; Organometallic Chemistry; Organic Chemical Synthesis,A/Prof Rowan Young,0000-0001-7437-8944
FT220100742,ARC Future Fellowships,2022,Closed,779672,0.0,Monash University,3101,Biochemistry and Cell Biology,3101; 310102; 310111; 320407,"Biochemistry and Cell Biology; Cell Development, Proliferation and Death; Signal Transduction; Innate Immunity",Dr Najoua Lalaoui,0000-0002-0165-3324
FT220100749,ARC Future Fellowships,2022,Active,894178,971531.0,Deakin University,3106,Industrial Biotechnology,3106; 310607; 401807,Industrial Biotechnology; Nanobiotechnology; Nanomaterials,A/Prof Roey Elnathan,0000-0002-0654-0097
FT220100756,ARC Future Fellowships,2022,Active,1030000,1118475.0,Queensland University of Technology,4402,Criminology,4402; 440201; 440206; 440702,Criminology; Causes and Prevention of Crime; Critical Approaches to Crime; Crime Policy,Prof Kelly Richards,0000-0001-6829-8016
FT220100757,ARC Future Fellowships,2022,Active,834821,906750.0,The University of New South Wales,5101,Astronomical Sciences,340308; 340407; 5101; 510101,Supramolecular Chemistry; Proteins and Peptides; Astronomical Sciences; Astrobiology,Dr Albert Fahrenbach,0000-0002-8315-8836
FT220100769,ARC Future Fellowships,2022,Closed,1061950,0.0,Deakin University,4702,Cultural Studies,4702; 470207,Cultural Studies; Cultural Theory,A/Prof Eben Kirksey,0000-0001-6067-1525
FT220100774,ARC Future Fellowships,2022,Active,996574,1082849.0,The Australian National University,4403,Demography,4403; 440303; 440403; 441013,"Demography; Migration; Labour, Migration and Development; Sociology of Migration, Ethnicity and Multiculturalism",Prof Alan Gamlen,0000-0003-1432-0526
FT220100792,ARC Future Fellowships,2022,Active,765942,832384.0,The Australian National University,3108,Plant Biology,3108; 310803; 310804,Plant Biology; Plant Cell and Molecular Biology; Plant Developmental and Reproductive Biology,Dr Joanna Melonek,0000-0003-4471-2520
FT220100798,ARC Future Fellowships,2022,Active,1055476,1146911.0,Swinburne University of Technology,5101,Astronomical Sciences,5101; 510103,Astronomical Sciences; Cosmology and Extragalactic Astronomy,A/Prof Ivo Labbe,0000-0002-2057-5376
FT220100835,ARC Future Fellowships,2022,Active,878004,954084.0,Monash University,4006,Communications Engineering,4006; 400605; 400909; 510204,"Communications Engineering; Optical Fibre Communication Systems and Technologies; Photonic and Electro-Optical Devices, Sensors and Systems (Excl. Communications); Photonics, Optoelectronics and Optical Communications",Dr William Corcoran,0000-0001-8653-3999
FT220100841,ARC Future Fellowships,2022,Active,1055476,1146911.0,Swinburne University of Technology,5101,Astronomical Sciences,460502; 5101; 510103,Data Mining and Knowledge Discovery; Astronomical Sciences; Cosmology and Extragalactic Astronomy,Prof Darren Croton,
FT220100857,ARC Future Fellowships,2022,Active,1049924,1140878.0,The University of Sydney,4406,Human Geography,330413; 420203; 4406; 440605,Urban Planning and Health; Environmental Epidemiology; Human Geography; Health Geography,Prof Thomas Astell-Burt,0000-0002-1498-4851
FL220100005,Australian Laureate Fellowships,2022,Active,3350000,3582166.0,The University of Melbourne,4901,Applied Mathematics,4901; 490102,Applied Mathematics; Biological Mathematics,Prof Michael Stumpf,0000-0002-3577-1222
FL220100016,Australian Laureate Fellowships,2022,Active,2738854,2935853.0,The University of New South Wales,3403,Macromolecular and Materials Chemistry,3403; 340302; 400403; 401605,Macromolecular and Materials Chemistry; Macromolecular Materials; Chemical Engineering Design; Functional Materials,Prof Cyrille Boyer,0000-0002-4564-4702
FL220100020,Australian Laureate Fellowships,2022,Active,2647737,2828352.0,The Australian National University,5101,Astronomical Sciences,460104; 5101; 510103,Applications In Physical Sciences; Astronomical Sciences; Cosmology and Extragalactic Astronomy,Prof Mark Krumholz,0000-0003-3893-854X
FL220100046,Australian Laureate Fellowships,2022,Active,3224956,3451078.0,The University of Western Australia,4501,"Aboriginal and Torres Strait Islander Culture, Language and History",4501; 450101,"Aboriginal and Torres Strait Islander Culture, Language and History; Aboriginal and Torres Strait Islander Archaeology",Prof Peter Veth,0000-0002-1717-6390
FL220100059,Australian Laureate Fellowships,2022,Active,2937786,3144847.0,The University of Queensland,3406,Physical Chemistry,3406; 340601; 340603; 401806,Physical Chemistry; Catalysis and Mechanisms of Reactions; Colloid and Surface Chemistry; Nanomanufacturing,Prof Matt Trau,
